date_found,filing_accession,ticker,company,signal_type,n_insiders,total_usd,score
2026-07-10,0001213900-26-076871,GGAL,GRUPO FINANCIERO GALICIA SA,💰 CONVICTION,1,2092469.53,47.92395485576466
2026-07-10,0001213900-26-076871,GGAL,GRUPO FINANCIERO GALICIA SA,💰 CONVICTION,1,2092469.53,47.92395485576466
2026-07-10,0001683168-26-005324,INTZ,INTRUSION INC,🤝 CLUSTER,2,3947.0,41.57760275837309
2026-07-10,0001683168-26-005326,INTZ,INTRUSION INC,🤝 CLUSTER,2,3947.0,41.57760275837309
2026-07-14,0001213900-26-077729,GGAL,GRUPO FINANCIERO GALICIA SA,💰 CONVICTION,1,4253108.57,49.7722388150945
2026-07-14,0001213900-26-077729,GGAL,GRUPO FINANCIERO GALICIA SA,💰 CONVICTION,1,4253108.57,49.7722388150945
2026-07-14,0001185185-26-002924,CCCTU,Columbus Circle Capital Corp III,💰 CONVICTION,1,2650000.0,48.53947524362085
2026-07-14,0000912282-26-000955,UUUU,ENERGY FUELS INC,💰 CONVICTION,1,967920.0,45.91503678231535
2026-07-14,0001580642-26-004267,PSBD,Palmer Square Capital BDC Inc.,💰 CONVICTION,1,647337.48,44.866784516996695
2026-07-14,0001580642-26-004267,PSBD,Palmer Square Capital BDC Inc.,💰 CONVICTION,1,647337.48,44.866784516996695
2026-07-15,0001628280-26-048066,YEXT,"Yext, Inc.",💰 CONVICTION,1,397909.894,43.59870842788435
2026-07-17,0001765496-26-000015,N/A,John Hancock GA Mortgage Trust,🥇 GOLDEN,4,78583782.2196724,87.37199756484429
2026-07-17,0001833683-26-000016,N/A,John Hancock GA Mortgage Trust,🥇 GOLDEN,4,78583782.2196724,87.37199756484429
2026-07-17,0001837478-26-000015,N/A,John Hancock GA Mortgage Trust,🥇 GOLDEN,4,78583782.2196724,87.37199756484429
2026-07-17,0001765518-26-000004,N/A,John Hancock GA Mortgage Trust,🥇 GOLDEN,4,78583782.2196724,87.37199756484429
2026-07-17,0001493152-26-033031,GLOO,"Gloo Holdings, Inc.",💰 CONVICTION,1,2999997.0,48.86272492254978
2026-07-20,0001287920-26-000006,ELV,"Elevance Health, Inc.",💰 CONVICTION,1,1002230.05,46.005804520673415
2026-07-20,0001287920-26-000006,ELV,"Elevance Health, Inc.",💰 CONVICTION,1,1002230.05,46.005804520673415
2026-07-22,0001213900-26-080115,STWI,StageWise Strategies Corp.,💰 CONVICTION,1,250000.0,42.387640052032225
2026-07-23,0000912282-26-000998,ZSTK,ZeroStack Corp.,💰 CONVICTION,1,3479013.2675,49.24873650980842
2026-07-24,0001193125-26-314704,BRTMU,B&amp;R Technology Merger Corp.,💰 CONVICTION,1,6875000.0,51.0236362150138
2026-07-29,0001628280-26-050148,N/A,"Crestline Lending Solutions, LLC",🥇 GOLDEN,4,1100252.21501,76.24895350930302
2026-07-29,0001628280-26-050262,N/A,"Crestline Lending Solutions, LLC",🥇 GOLDEN,4,1100252.21501,76.24895350930302
2026-07-29,0001628280-26-050139,N/A,"Crestline Lending Solutions, LLC",🥇 GOLDEN,4,1100252.21501,76.24895350930302
2026-07-29,0001628280-26-050143,N/A,"Crestline Lending Solutions, LLC",🥇 GOLDEN,4,1100252.21501,76.24895350930302
